site_id,region_id,category,stimulus,stimulus_display,height_profile,board_x_mm,board_y_mm,expected_surface_z_mm,recommended_depth_min_mm,recommended_depth_max_mm,sampling_jitter_radius_mm,notes
R01_S01,R01,flat,flat_reference,flat_reference,deep-contact,-129.0,115.0,10.0,1.0,8.0,4.0,"Broad planar reference patch for controlled 2-8 mm indentation, lighting, and pose baselines."
R01_S02,R01,flat,flat_reference,flat_reference,deep-contact,-129.0,122.0,10.0,1.0,8.0,4.0,"Broad planar reference patch for controlled 2-8 mm indentation, lighting, and pose baselines."
R01_S03,R01,flat,flat_reference,flat_reference,deep-contact,-129.0,129.0,10.0,1.0,8.0,4.0,"Broad planar reference patch for controlled 2-8 mm indentation, lighting, and pose baselines."
R01_S04,R01,flat,flat_reference,flat_reference,deep-contact,-122.0,115.0,10.0,1.0,8.0,4.0,"Broad planar reference patch for controlled 2-8 mm indentation, lighting, and pose baselines."
R01_S05,R01,flat,flat_reference,flat_reference,deep-contact,-122.0,122.0,10.0,1.0,8.0,4.0,"Broad planar reference patch for controlled 2-8 mm indentation, lighting, and pose baselines."
R01_S06,R01,flat,flat_reference,flat_reference,deep-contact,-122.0,129.0,10.0,1.0,8.0,4.0,"Broad planar reference patch for controlled 2-8 mm indentation, lighting, and pose baselines."
R01_S07,R01,flat,flat_reference,flat_reference,deep-contact,-115.0,115.0,10.0,1.0,8.0,4.0,"Broad planar reference patch for controlled 2-8 mm indentation, lighting, and pose baselines."
R01_S08,R01,flat,flat_reference,flat_reference,deep-contact,-115.0,122.0,10.0,1.0,8.0,4.0,"Broad planar reference patch for controlled 2-8 mm indentation, lighting, and pose baselines."
R01_S09,R01,flat,flat_reference,flat_reference,deep-contact,-115.0,129.0,10.0,1.0,8.0,4.0,"Broad planar reference patch for controlled 2-8 mm indentation, lighting, and pose baselines."
R02_S01,R02,flat,flat_step_2mm,flat_step_6mm,deep-contact,-55.0,115.0,7.0,1.0,8.0,4.0,Two planar levels separated by a 6 mm step for deep-contact crossing samples.
R02_S02,R02,flat,flat_step_2mm,flat_step_6mm,deep-contact,-55.0,122.0,7.0,1.0,8.0,4.0,Two planar levels separated by a 6 mm step for deep-contact crossing samples.
